"version","version_season","season_name","season","full_name","castaway_id","castaway","age","city","state","personality_type","episode","day","order","result","jury_status","original_tribe"
"US","US09","Survivor: Vanuatu",9,"Julie Berry","US0126","Julie",23,"Gorham","Maine","INFP",13,36,14,"14th voted out","5th jury member","Yasur"
"US","US09","Survivor: Vanuatu",9,"Ami Cusack","US0125","Ami",31,"Lakewood","Colorado","ENTJ",12,33,13,"13th voted out","4th jury member","Yasur"
"US","US09","Survivor: Vanuatu",9,"Leann Slaby","US0124","Leann",35,"Kansasville","Wisconsin","INFJ",11,30,12,"12th voted out","3rd jury member","Yasur"
"US","US09","Survivor: Vanuatu",9,"James Crittenden","US0123","Chad",34,"Oakland","California","ESTP",10,27,11,"11th voted out","2nd jury member","Lopevi"
"US","US09","Survivor: Vanuatu",9,"Lea Masters","US0122","Lea",40,"Columbia","South Carolina","ESFJ",9,24,10,"10th voted out","1st jury member","Lopevi"
"US","US09","Survivor: Vanuatu",9,"Rory Freeman","US0121","Rory",35,"Des Moines","Iowa","INTP",8,21,9,"9th voted out",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"John Kenney","US0120","John K.",22,"Los Angeles","California","ESFP",7,18,8,"8th voted out",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"Lisa Keiffer","US0119","Lisa",44,"Mandeville","Louisiana","ESFJ",6,15,7,"7th voted out",NA,"Yasur"
"US","US09","Survivor: Vanuatu",9,"Travis Sampson","US0118","Travis",33,"Johnson City","Tennessee","ISFP",5,12,6,"6th voted out",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"Brady Finta","US0117","Brady",33,"Huntington Beach","California","ISTJ",4,10,5,"5th voted out",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"Mia Galeotalanza","US0116","Mia",29,"Boston","Massachusetts","ESFP",3,7,4,"4th voted out",NA,"Yasur"
"US","US09","Survivor: Vanuatu",9,"John Palyok","US0115","John P.",31,"Los Angeles","California","ESTP",3,7,3,"3rd voted out",NA,"Lopevi"
"US","US09","Survivor: Vanuatu",9,"Dolly Neely","US0114","Dolly",25,"Lake Latonka","Pennsylvania","ISFP",2,6,2,"2nd voted out",NA,"Yasur"
"US","US09","Survivor: Vanuatu",9,"Brook Geraghty","US0113","Brook",27,"Winthrop","Massachusetts","INTP",1,3,1,"1st voted out",NA,"Lopevi"
"US","US10","Survivor: Palau",10,"Tom Westman","US0150","Tom",40,"Sayville","New York","ESTJ",15,39,20,"Sole Survivor",NA,"Koror"
"US","US10","Survivor: Palau",10,"Katie Gallagher","US0149","Katie",29,"Merced","California","ESFP",15,39,19,"Runner-up",NA,"Koror"
"US","US10","Survivor: Palau",10,"Ian Rosenberger","US0148","Ian",23,"Ambridge","Pennsylvania","ESFP",14,38,18,"14th voted out","7th jury member","Koror"
"US","US10","Survivor: Palau",10,"Jennifer Lyon","US0147","Jenn",32,"Encino","California","ISFP",14,37,17,"13th voted out","6th jury member","Koror"
"US","US10","Survivor: Palau",10,"Caryn Groedel","US0146","Caryn",46,"Solon","Ohio","ISTJ",13,36,16,"12th voted out","5th jury member","Koror"
"US","US10","Survivor: Palau",10,"Gregg Carey","US0145","Gregg",27,"Chicago","Illinois","INTP",12,33,15,"11th voted out","4th jury member","Koror"
"US","US10","Survivor: Palau",10,"Stephenie LaGrossa","US0144","Stephenie",24,"Toms River","New Jersey","ESTJ",11,30,14,"10th voted out","3rd jury member","Ulong"
"US","US10","Survivor: Palau",10,"Janu Tornell","US0143","Janu",39,"Las Vegas","Nevada","INFP",10,27,13,"Quit","2nd jury member","Koror"
"US","US10","Survivor: Palau",10,"Coby Archa","US0142","Coby",32,"Athens","Texas","ENFP",9,24,12,"9th voted out","1st jury member","Koror"
"US","US10","Survivor: Palau",10,"Bobby Jon Drinkard","US0141","Bobby Jon",27,"Los Angeles","California","ISTP",8,21,11,"Eliminated",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Ibrehem Rahman","US0140","Ibrehem",27,"Birmingham","Alabama","ISTJ",7,18,10,"8th voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"James Miller","US0139","James",33,"Mobile","Alabama","ESTP",6,15,9,"7th voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Angie Jakusz","US0138","Angie",24,"New Orleans","Louisiana","INFP",5,12,8,"6th voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Willard Smith","US0137","Willard",56,"Bellevue","Washington","INTP",5,12,7,"5th voted out",NA,"Koror"
"US","US10","Survivor: Palau",10,"Kimberly Mullen","US0136","Kim",25,"Huber Heights","Ohio","INTJ",4,11,6,"4th voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Jeff Wilson","US0135","Jeff",21,"Ventura","California","ESFP",3,8,5,"3rd voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Ashlee Ashby","US0134","Ashlee",22,"Easley","South Carolina","ISFJ",2,6,4,"2nd voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Jolanda Jones","US0133","Jolanda",38,"Houston","Texas","ESTJ",1,3,3,"1st voted out",NA,"Ulong"
"US","US10","Survivor: Palau",10,"Wanda Shirk","US0132","Wanda",55,"Ulysses","Pennsylvania","ENFP",1,2,2,"Eliminated",NA,"None"
"US","US10","Survivor: Palau",10,"Jonathan Libby","US0131","Jonathan",23,"Dallas","Texas","ISTP",1,2,1,"Eliminated",NA,"None"
