"version","version_season","season_name","season","episode","day","tribe_status","tribe","castaway","immunity","vote","vote_event","split_vote","nullified","tie","voted_out","order","vote_order","castaway_id","vote_id","voted_out_id"
"US","US01","Survivor: Borneo",1,13,37,"Merged","Rattana","Richard",NA,NA,NA,NA,FALSE,FALSE,"Sue",13,2,"US0016",NA,"US0013"
"US","US01","Survivor: Borneo",1,13,38,"Merged","Rattana","Rudy",NA,NA,NA,NA,FALSE,FALSE,"Rudy",14,1,"US0014",NA,"US0014"
"US","US01","Survivor: Borneo",1,13,38,"Merged","Rattana","Kelly","Individual","Rudy",NA,NA,FALSE,FALSE,"Rudy",14,1,"US0015","US0014","US0014"
"US","US01","Survivor: Borneo",1,13,38,"Merged","Rattana","Richard",NA,NA,NA,NA,FALSE,FALSE,"Rudy",14,1,"US0016",NA,"US0014"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Debb",NA,"Jeff",NA,NA,FALSE,FALSE,"Debb",1,1,"US0017","US0023","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Kimmi",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0021","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Michael",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0022","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Jeff",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0023","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Alicia",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0024","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Nick",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0026","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Rodger",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0028","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,1,3,"Original","Kucha","Elisabeth",NA,"Debb",NA,NA,FALSE,FALSE,"Debb",1,1,"US0029","US0017","US0017"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Kel",NA,"Jerri",NA,NA,FALSE,FALSE,"Kel",2,1,"US0018","US0025","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Maralyn",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0019","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Mitchell",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0020","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Jerri",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0025","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Amber",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0027","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Keith",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0030","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Colby",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0031","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,2,6,"Original","Ogakor","Tina",NA,"Kel",NA,NA,FALSE,FALSE,"Kel",2,1,"US0032","US0018","US0018"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Maralyn",NA,"Jerri",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0019","US0025","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Mitchell",NA,"Maralyn",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0020","US0019","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Jerri",NA,"Maralyn",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0025","US0019","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Amber",NA,"Maralyn",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0027","US0019","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Keith",NA,"Mitchell",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0030","US0020","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Colby",NA,"Maralyn",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0031","US0019","US0019"
"US","US02","Survivor: The Australian Outback",2,3,9,"Original","Ogakor","Tina",NA,"Maralyn",NA,NA,FALSE,FALSE,"Maralyn",3,1,"US0032","US0019","US0019"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Mitchell",NA,"Keith",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0020","US0030","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Jerri",NA,"Keith",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0025","US0030","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Amber",NA,"Keith",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0027","US0030","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Keith",NA,"Mitchell",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0030","US0020","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Colby",NA,"Mitchell",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0031","US0020","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Tina",NA,"Mitchell",NA,NA,FALSE,TRUE,"Mitchell",4,1,"US0032","US0020","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Mitchell",NA,NA,NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0020",NA,"US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Jerri",NA,"Keith",NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0025","US0030","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Amber",NA,"Keith",NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0027","US0030","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Keith",NA,NA,NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0030",NA,"US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Colby",NA,"Mitchell",NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0031","US0020","US0020"
"US","US02","Survivor: The Australian Outback",2,4,12,"Original","Ogakor","Tina",NA,"Mitchell",NA,NA,FALSE,TRUE,"Mitchell",4,2,"US0032","US0020","US0020"
