"version","version_season","season_name","season","episode","order","castaway","castaway_id","tribe","tribe_status","in_the_game"
"US","US02","Survivor: The Australian Outback",2,10,8,"Nick","US0026","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Amber","US0027","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,10,8,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Nick","US0026","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Amber","US0027","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,11,9,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Amber","US0027","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Colby","US0031","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,12,10,"Tina","US0032","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,13,11,"Rodger","US0028","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,13,11,"Elisabeth","US0029","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,13,11,"Keith","US0030","Barramundi","Merged",TRUE
"US","US02","Survivor: The Australian Outback",2,13,11,"Colby","US0031","Barramundi","Merged",TRUE
