"version","version_season","season_name","season","episode","day","castaway_id","castaway","tribe","tribe_status"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,8,24,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0025","Jerri","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0026","Nick","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0027","Amber","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,10,27,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0026","Nick","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0027","Amber","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,11,30,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0027","Amber","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,12,33,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,13,36,"US0028","Rodger","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,13,36,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,13,36,"US0030","Keith","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,13,36,"US0031","Colby","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,13,36,"US0032","Tina","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,14,39,"US0029","Elisabeth","Barramundi","Merged"
"US","US02","Survivor: The Australian Outback",2,14,39,"US0030","Keith","Barramundi","Merged"
