"version","version_season","season_name","season","episode","castaway","castaway_id","confessional_count"
"US","US02","Survivor: The Australian Outback",2,11,"Rodger","US0028",2
"US","US02","Survivor: The Australian Outback",2,11,"Tina","US0032",7
"US","US02","Survivor: The Australian Outback",2,12,"Amber","US0027",5
"US","US02","Survivor: The Australian Outback",2,12,"Colby","US0031",9
"US","US02","Survivor: The Australian Outback",2,12,"Elisabeth","US0029",8
"US","US02","Survivor: The Australian Outback",2,12,"Keith","US0030",5
"US","US02","Survivor: The Australian Outback",2,12,"Rodger","US0028",5
"US","US02","Survivor: The Australian Outback",2,12,"Tina","US0032",6
"US","US02","Survivor: The Australian Outback",2,13,"Colby","US0031",10
"US","US02","Survivor: The Australian Outback",2,13,"Elisabeth","US0029",4
"US","US02","Survivor: The Australian Outback",2,13,"Keith","US0030",6
"US","US02","Survivor: The Australian Outback",2,13,"Rodger","US0028",4
"US","US02","Survivor: The Australian Outback",2,13,"Tina","US0032",5
"US","US02","Survivor: The Australian Outback",2,14,"Colby","US0031",13
"US","US02","Survivor: The Australian Outback",2,14,"Elisabeth","US0029",9
"US","US02","Survivor: The Australian Outback",2,14,"Keith","US0030",5
"US","US02","Survivor: The Australian Outback",2,14,"Tina","US0032",3
"US","US02","Survivor: The Australian Outback",2,15,"Colby","US0031",17
"US","US02","Survivor: The Australian Outback",2,15,"Keith","US0030",8
"US","US02","Survivor: The Australian Outback",2,15,"Tina","US0032",15
"US","US03","Survivor: Africa",3,1,"Brandon","US0041",2
"US","US03","Survivor: Africa",3,1,"Carl","US0035",0
"US","US03","Survivor: Africa",3,1,"Clarence","US0039",1
"US","US03","Survivor: Africa",3,1,"Diane","US0033",1
"US","US03","Survivor: Africa",3,1,"Ethan","US0048",4
"US","US03","Survivor: Africa",3,1,"Frank","US0042",3
"US","US03","Survivor: Africa",3,1,"Jessie","US0034",1
"US","US03","Survivor: Africa",3,1,"Kelly","US0040",0
"US","US03","Survivor: Africa",3,1,"Kim J.","US0047",1
"US","US03","Survivor: Africa",3,1,"Kim P.","US0043",3
"US","US03","Survivor: Africa",3,1,"Lex","US0046",1
"US","US03","Survivor: Africa",3,1,"Linda","US0036",1
"US","US03","Survivor: Africa",3,1,"Lindsey","US0038",3
"US","US03","Survivor: Africa",3,1,"Silas","US0037",0
"US","US03","Survivor: Africa",3,1,"Teresa","US0044",1
"US","US03","Survivor: Africa",3,1,"Tom","US0045",3
"US","US03","Survivor: Africa",3,2,"Brandon","US0041",2
"US","US03","Survivor: Africa",3,2,"Carl","US0035",4
"US","US03","Survivor: Africa",3,2,"Clarence","US0039",7
"US","US03","Survivor: Africa",3,2,"Ethan","US0048",2
"US","US03","Survivor: Africa",3,2,"Frank","US0042",4
"US","US03","Survivor: Africa",3,2,"Jessie","US0034",3
"US","US03","Survivor: Africa",3,2,"Kelly","US0040",4
"US","US03","Survivor: Africa",3,2,"Kim J.","US0047",2
"US","US03","Survivor: Africa",3,2,"Kim P.","US0043",2
"US","US03","Survivor: Africa",3,2,"Lex","US0046",3
"US","US03","Survivor: Africa",3,2,"Linda","US0036",0
"US","US03","Survivor: Africa",3,2,"Lindsey","US0038",6
"US","US03","Survivor: Africa",3,2,"Silas","US0037",3
"US","US03","Survivor: Africa",3,2,"Teresa","US0044",2
