"version","version_season","season_name","season","castaway","castaway_id","advantage_id","sequence_id","day","episode","event","played_for","played_for_id","success","votes_nullified"
"US","US37","Survivor: David vs. Goliath",37,"Davie","US0551","USHI3706",1,34,12,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Davie","US0551","USHI3706",2,35,12,"Played","Davie","US0551","Not needed",2
"US","US37","Survivor: David vs. Goliath",37,"Angelina","US0554","USHI3707",1,36,13,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Angelina","US0554","USHI3707",2,37,13,"Played","Angelina","US0554","Not needed",0
"US","US37","Survivor: David vs. Goliath",37,"Carl","US0548","USIN3701",1,10,4,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Carl","US0548","USIN3701",2,25,9,"Played","Dan","US0546","Yes",NA
"US","US37","Survivor: David vs. Goliath",37,"Nick","US0556","USVS3701",1,21,7,"Found",NA,NA,NA,NA
"US","US37","Survivor: David vs. Goliath",37,"Nick","US0556","USVS3701",2,25,9,"Played","Alison","US0552","Yes",NA
"US","US38","Survivor: Edge of Extinction",38,"Ron","US0565","USAD3801",1,1,1,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Ron","US0565","USAD3801",2,8,3,"Expired",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USEV3801",1,13,5,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aubry","US0477","USEV3801",2,13,5,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aubry","US0477","USEV3801",3,13,5,"Voted out with advantage",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aubry","US0477","USEV3802",1,21,7,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aurora","US0566","USEV3802",2,21,7,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Ron","US0565","USEV3802",3,27,9,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aurora","US0566","USEV3802",4,28,10,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Gavin","US0570","USEV3802",5,28,10,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Gavin","US0570","USEV3802",6,31,11,"Played","Ron","US0565","Not needed",NA
"US","US38","Survivor: Edge of Extinction",38,"Lauren","US0568","USHI3801",1,4,2,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Lauren","US0568","USHI3801",2,36,13,"Played","Chris","US0559","Not needed",1
"US","US38","Survivor: Edge of Extinction",38,"Aubry","US0477","USHI3802",1,7,3,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Aubry","US0477","USHI3802",2,13,5,"Voted out with advantage",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Kelley","US0429","USHI3803",1,16,5,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Kelley","US0429","USHI3803",2,27,9,"Voted out with advantage",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3804",1,18,6,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3804",2,23,8,"Played","David","US0495","Not needed",1
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3805",1,30,11,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3805",2,31,11,"Played","Rick","US0560","Yes",4
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3806",1,32,12,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3806",2,36,13,"Played","Rick","US0560","Yes",3
"US","US38","Survivor: Edge of Extinction",38,"Chris","US0559","USHI3807",1,35,13,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Chris","US0559","USHI3807",2,37,13,"Played","Chris","US0559","Yes",3
"US","US38","Survivor: Edge of Extinction",38,"Rick","US0560","USHI3808",1,37,13,"Found",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Gavin","US0570","USHI3808",2,37,13,"Received",NA,NA,NA,NA
"US","US38","Survivor: Edge of Extinction",38,"Gavin","US0570","USHI3808",3,37,13,"Played","Gavin","US0570","Not needed",0
"US","US39","Survivor: Island of the Idols",39,"Chelsea","US0574","USHI3901",1,4,2,"Found",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Chelsea","US0574","USHI3901",2,11,4,"Voted out with advantage",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Kellee","US0578","USHI3902",1,5,2,"Found",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Dean","US0589","USHI3902",2,19,7,"Received",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Dean","US0589","USHI3902",3,19,7,"Played","Dean","US0589","Yes",5
"US","US39","Survivor: Island of the Idols",39,"Vince","US0573","USHI3903",1,7,3,"Found",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Vince","US0573","USHI3903",2,8,3,"Voted out with advantage",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Jamal","US0579","USHI3904",1,9,4,"Found",NA,NA,NA,NA
"US","US39","Survivor: Island of the Idols",39,"Jamal","US0579","USHI3904",2,19,7,"Played","Noura","US0588","Not needed",0
